Unnamed: 0,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,category,category_lvl2,category_lvl3
104,210,the_and_in_to_is,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105]",208,the_was_and_room_were,209,de_la_four_stay_hotel,1.73268669,no,no,no
103,209,de_la_four_stay_hotel,"[0, 1, 2, 5, 8, 11, 15, 17, 18, 23, 26, 29, 31, 35, 36, 37, 40, 41, 43, 44, 45, 47, 48, 49, 54, 55, 56, 58, 64, 69, 71, 73, 74, 75, 76, 77, 78, 82, 84, 90, 92, 93, 96, 97, 99, 104]",167,again_stay_here_will_back,207,de_la_four_seasons_hotel,1.485791723,no,no,yes
102,208,the_was_and_room_were,"[3, 4, 6, 7, 9, 10, 12, 13, 14, 16, 19, 20, 21, 22, 24, 25, 27, 28, 30, 32, 33, 34, 38, 39, 42, 46, 50, 51, 52, 53, 57, 59, 60, 61, 62, 63, 65, 66, 67, 68, 70, 72, 79, 80, 81, 83, 85, 86, 87, 88, 89, 91, 94, 95, 98, 100, 101, 102, 103, 105]",196,staff_friendly_helpful_desk_front,206,the_room_was_and_pool,1.483873575,no,no,no
101,207,de_la_four_seasons_hotel,"[0, 1, 2, 5, 8, 11, 15, 17, 18, 23, 26, 35, 36, 40, 41, 43, 44, 45, 47, 48, 49, 54, 55, 56, 58, 64, 71, 73, 74, 75, 76, 78, 82, 84, 90, 92, 93, 96, 97, 99, 104]",157,stayed_nights_august_here_surrey,205,de_la_four_seasons_location,1.39532329,no,no,yes
100,206,the_room_was_and_pool,"[3, 4, 7, 9, 10, 12, 13, 16, 19, 20, 21, 22, 24, 25, 27, 28, 30, 32, 34, 39, 42, 46, 50, 51, 52, 53, 57, 59, 60, 61, 62, 63, 65, 66, 67, 68, 70, 72, 79, 80, 81, 83, 85, 87, 89, 91, 94, 100, 101, 103, 105]",203,room_pool_was_the_we,200,bathroom_shower_bed_rooms_comfortable,1.375025381,no,no,no
99,205,de_la_four_seasons_location,"[0, 1, 2, 5, 8, 11, 15, 17, 18, 23, 26, 36, 40, 41, 43, 44, 45, 48, 49, 54, 55, 56, 58, 64, 71, 73, 75, 76, 78, 82, 84, 90, 92, 93, 96, 99]",204,four_seasons_location_is_this,163,de_la_le_un_et,1.366757744,no,no,yes
98,204,four_seasons_location_is_this,"[0, 2, 5, 8, 15, 17, 18, 26, 36, 40, 41, 43, 44, 45, 48, 49, 54, 55, 56, 58, 64, 71, 73, 75, 76, 78, 82, 84, 90, 92, 93, 96, 99]",199,service_star_five_stars_customer,201,four_seasons_location_is_this,1.286935922,no,no,yes
97,203,room_pool_was_the_we,"[4, 7, 9, 10, 13, 16, 19, 21, 22, 24, 27, 28, 30, 32, 34, 39, 42, 51, 52, 53, 57, 59, 60, 61, 62, 63, 65, 66, 68, 70, 79, 80, 81, 83, 85, 89, 91, 94, 100, 101, 105]",195,housekeeping_our_check_they_anniversary,202,pool_room_breakfast_the_was,1.269418963,no,no,no
96,202,pool_room_breakfast_the_was,"[4, 7, 9, 10, 13, 16, 19, 21, 22, 24, 28, 30, 34, 51, 52, 53, 59, 60, 62, 65, 70, 80, 81, 85, 91, 105]",197,pool_room_breakfast_view_the,154,bar_food_restaurant_drinks_drink,1.225279456,no,no,yes
95,201,four_seasons_location_is_this,"[0, 2, 5, 8, 17, 18, 26, 36, 40, 41, 43, 44, 45, 48, 49, 54, 55, 58, 71, 73, 75, 76, 78, 84, 90, 92, 93, 96]",113,ritz_carlton_at_stayed_charlotte,198,four_seasons_location_is_this,1.223946166,no,yes,no
94,200,bathroom_shower_bed_rooms_comfortable,"[3, 12, 20, 25, 46, 50, 67, 72, 87, 103]",185,bed_comfortable_rooms_beds_are,158,bathroom_shower_tub_tv_bath,1.198570674,no,no,yes
93,199,service_star_five_stars_customer,"[15, 56, 64, 82, 99]",108,star_five_stars_this_hotel,133,service_customer_impeccable_excellent_was,1.198166326,no,yes,yes
92,198,four_seasons_location_is_this,"[0, 2, 5, 8, 17, 18, 26, 36, 43, 44, 45, 48, 49, 54, 55, 58, 71, 73, 75, 76, 78, 84, 90, 92, 93, 96]",194,four_seasons_location_is_this,187,fairmont_seattle_grounds_garden_00,1.169219896,no,no,yes
