Unnamed: 0,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,Child_Left_Category,Child_Right_Category
34,140,bags_bill_me_called_he,"[32, 39, 68]",32,bags_bellman_car_valet_luggage,125,bill_called_me_call_fixed,0.7802228850878111,Parking and Transportation,Cleanliness and Maintenance
33,139,restaurant_restaurants_stations_dining_food,"[62, 91]",91,restaurant_excellent_refurbishing_michelle_sample,62,stations_restaurants_restaurant_dining_entertainment,0.7778359193973421,Food and Beverage,Food and Beverage
32,138,noise_quiet_air_loud_hear,"[13, 60]",60,air_conditioning_conditioner_temperature_properly,13,noise_quiet_hear_loud_street,0.7732556189964808,Cleanliness and Maintenance,Location
31,137,seasons_four_chicago_baltimore_regis,"[5, 44]",5,seasons_four_baltimore_regis_at,44,chicago_in_best_stay_choice,0.7629376674472778,Food and Beverage,Parking and Transportation
30,136,shower_bathroom_tub_bath_toilet,"[3, 103]",103,drawers_desk_closet_couch_large,3,shower_bathroom_tub_bath_toilet,0.7500840731757529,Room and Ameneties,Facilities and Activities
29,135,rooms_are_spacious_comfortable_location,"[20, 50, 87]",50,location_great_rooms_service_amenities,118,rooms_are_spacious_comfortable_room,0.7473906937774585,Location,Facilities and Activities
28,134,pool_gym_fitness_area_swimming,"[7, 24]",24,gym_fitness_workout_facility_center,7,pool_area_swimming_small_gym,0.7395818215794429,Facilities and Activities,Facilities and Activities
27,133,service_customer_impeccable_excellent_was,"[15, 82, 99]",99,service_fs_hotel_this_potentential,115,service_customer_impeccable_friendly_was,0.73701986555988,Facilities and Activities,Service and Staff
26,132,bar_food_drinks_drink_lounge,"[10, 21, 51]",10,bar_drinks_lounge_drink_cocktails,123,food_dinner_delicious_restaurant_meal,0.7365099526821721,Food and Beverage,Food and Beverage
25,131,worth_rate_price_expensive_rates,"[22, 53]",53,worth_expensive_penny_cheap_every,22,rate_rates_price_night_pay,0.7281458621902677,Value and Price,Food and Beverage
24,130,check_early_ready_fast_call,"[63, 66]",66,check_fast_quick_efficient_smooth,63,early_ready_check_call_room,0.7270444633752563,Cleanliness and Maintenance,Facilities and Activities
23,129,stayed_surrey_hotels_london_royal,"[47, 74]",47,hotels_stayed_ve_best_nicest,74,surrey_london_palms_royal_stayed,0.723971664631794,Food and Beverage,Food and Beverage
22,128,room_was_nice_spotless_noticed,"[65, 85]",65,room_nice_was_lovely_spirited,85,room_spotless_noticed_huge_was,0.7235683472813162,Cleanliness and Maintenance,Location
21,127,anniversary_champagne_bottle_chocolate_celebrate,"[42, 61]",42,champagne_bottle_chocolate_anniversary_strawberries,61,anniversary_celebrate_wedding_our_husband,0.7118180163805786,Food and Beverage,Special Occasions and Events
20,126,stay_again_here_would_definitely,"[31, 37, 77]",110,again_here_would_stay_definitely,31,stay_here_overall_wonderful_enjoyed,0.7081953803460064,Cleanliness and Maintenance,Food and Beverage
19,125,bill_called_me_call_fixed,"[39, 68]",68,called_reservation_incident_did_that,39,bill_fixed_phone_me_issue,0.6904941526063019,Parking and Transportation,Cleanliness and Maintenance
18,124,concierge_reservations_helpful_suggestions_us,"[38, 95]",95,reservations_mentions_reservation_any_concierge,38,concierge_helpful_suggestions_reservations_us,0.6866605902885566,Food and Beverage,Service and Staff
17,123,food_dinner_delicious_restaurant_meal,"[21, 51]",51,dinner_eat_restaurant_closed_ate,21,food_delicious_tasty_meal_was,0.6853181132531982,Food and Beverage,Food and Beverage
