,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
92,196,service_star_five_stars_customer,"[13, 54, 62, 80, 100]",106,star_five_stars_this_hotel,130,service_customer_impeccable_excellent_was,1.1974865795202159
91,195,four_seasons_location_is_hotel,"[2, 3, 6, 15, 17, 24, 34, 41, 42, 43, 45, 46, 47, 52, 53, 56, 70, 71, 73, 74, 75, 81, 88, 90, 91, 96]",190,four_seasons_location_hotel_is,185,property_seattle_fairmont_grounds_garden,1.1803036675192187
90,194,staff_friendly_helpful_desk_front,"[4, 12, 31, 36, 84, 85, 93, 95, 97]",189,staff_friendly_helpful_concierge_very,114,desk_front_staff_helpful_valet,1.1452801861034945
89,193,bathroom_shower_view_suite_rooms,"[1, 10, 14, 18, 23, 44, 48, 65, 69, 87, 101]",186,shower_bathroom_view_suite_rooms,116,tv_mirror_bathroom_channels_screen,1.1340670526344765
88,192,housekeeping_our_check_they_anniversary,"[26, 30, 37, 40, 55, 59, 61, 64, 66, 77, 82, 86, 89, 98, 99]",188,check_our_anniversary_they_champagne,182,housekeeping_towels_ice_slippers_turn,1.1314033801135253
87,191,pool_breakfast_spa_the_room,"[5, 7, 11, 16, 19, 22, 25, 28, 32, 49, 51, 57, 58, 63, 68, 78, 79, 83, 103]",183,noise_lobby_quiet_room_elevator,184,pool_breakfast_spa_coffee_gym,1.124221213901881
86,190,four_seasons_location_hotel_is,"[2, 3, 6, 15, 17, 34, 41, 42, 43, 45, 46, 52, 56, 70, 71, 75, 81, 90, 91, 96]",169,location_shopping_walking_walk_distance,187,four_seasons_nyc_boston_hotel,1.0949686672214212
85,189,staff_friendly_helpful_concierge_very,"[4, 12, 36, 85, 95, 97]",122,concierge_reservations_helpful_suggestions_us,168,staff_friendly_helpful_very_professional,1.0856616861963915
84,188,check_our_anniversary_they_champagne,"[30, 37, 40, 55, 59, 61, 64, 66, 99]",174,check_our_they_bags_she,125,anniversary_champagne_bottle_chocolate_celebrate,1.082227770054628
83,187,four_seasons_nyc_boston_hotel,"[3, 6, 15, 34, 41, 42, 43, 45, 46, 52, 56, 71, 75, 81, 90, 91, 96]",158,nyc_york_new_ny_conrad,181,seasons_four_boston_chicago_hotel,1.0519378997618292
82,186,shower_bathroom_view_suite_rooms,"[1, 10, 14, 18, 23, 44, 48, 87, 101]",118,decor_hotel_modern_furnishings_beautiful,166,shower_bathroom_view_suite_rooms,1.0495439026562077
81,185,property_seattle_fairmont_grounds_garden,"[24, 47, 53, 73, 74, 88]",164,property_fairmont_seattle_this_puget,180,grounds_garden_00_maintained_beautiful,1.035129086623121
80,184,pool_breakfast_spa_coffee_gym,"[5, 7, 16, 19, 22, 25, 28, 51, 57, 68]",157,parking_worth_rate_price_expensive,179,pool_breakfast_spa_coffee_gym,1.0329286254535497
